"""country_name"",""country_text_id"",""country_id"",""year"",""v2x_polyarchy"",""v2x_regime"",""e_boix_regime"",""e_polity2"",""e_regionpol"",""e_regionpol_6C"",""dir_crim"",""ind_crim"",""gmc"",""gmcpr"",""gmcphys"",""gmcpsych"",""gmcdiv"",""nb3g"",""adp_general"",""adp_constitution"",""adp_employment"",""adp_education"",""adp_healthcare"",""adp_housing"",""trip_score"",""trip_percent"",""wb_gdppc"",""lgdppc_wb"",""religiosity_percent"",""no_dircrim"",""no_indcrim"",""nophys"",""nopsych"",""nodiv"""
"Georgia,""GEO"",118,2019,0.638,2,1,NA,1,1,0,1,0,2,2,2,2,0,1,0,1,1,1,1,6,0.461538463830948,4696.15058555612,8.45449829101562,1,1,0,0,0,0"
"Guinea-Bissau,""GNB"",119,2019,0.523,2,0,NA,4,4,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,730.611448705215,6.59388160705566,0.956099987030029,1,1,0,0,0"
"Jamaica,""JAM"",120,2019,0.815,3,1,NA,10,2,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,5626.17117652759,8.6351842880249,0.829800009727478,1,0,0,0,0"
"Kazakhstan,""KAZ"",121,2019,0.24,1,0,NA,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,3,0.230769231915474,9812.5958082732,9.19142246246338,0.959800004959106,1,1,0,0,0"
"Kyrgyzstan,""KGZ"",122,2019,0.437,1,0,NA,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,3,0.230769231915474,1374.03210467421,7.22550487518311,1,1,0,1,0,0"
"Laos,""LAO"",123,2019,0.129,0,0,NA,7,6,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,2598.50552320723,7.86269187927246,1,1,1,0,0,0"
"Libya,""LBY"",124,2019,0.27,0,0,NA,3,3,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,10542.1492864798,9.2631368637085,1,1,0,0,0,0"
"Madagascar,""MDG"",125,2019,0.497,1,1,NA,4,4,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,512.279659659088,6.23887062072754,0.92739999294281,1,1,0,0,0"
"Moldova,""MDA"",126,2019,0.608,2,1,NA,1,1,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,4493.37030323867,8.41035842895508,0.98690003156662,1,1,0,0,0"
"Namibia,""NAM"",127,2019,0.662,2,1,NA,4,4,0,1,1,1,1,2,1,0,0,0,0,0,0,0,2,0.15384615957737,5126.17614357634,8.54211521148682,0.981000006198883,1,0,0,0,0"
"Rwanda,""RWA"",129,2019,0.235,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,806.879981050775,6.69317483901978,0.96940004825592,1,0,0,0,0"
"Somalia,""SOM"",130,2019,0.157,0,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,405.786763279583,6.00582790374756,1,1,0,0,0,0"
"Sri Lanka,""LKA"",131,2019,0.563,2,1,NA,8,6,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,4082.69461963515,8.31451225280762,1,1,0,0,0,0"
"Eswatini,""SWZ"",132,2019,0.133,0,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,3843.3773913814,8.25410652160645,0.905299961566925,1,0,0,0,0"
"Tajikistan,""TJK"",133,2019,0.166,1,0,NA,1,1,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,889.02026237745,6.79012012481689,0.985000014305115,1,0,0,0,0"
"Togo,""TGO"",134,2019,0.413,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,875.932659234798,6.7752890586853,0.938000023365021,1,0,0,0,0"
"Trinidad and Tobago,""TTO"",135,2019,0.748,3,1,NA,10,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,15690.9630955493,9.66084003448486,0.981900036334991,1,1,0,0,0"
"Turkmenistan,""TKM"",136,2019,0.15,1,0,NA,1,1,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,7344.64823305792,8.90172672271729,1,1,0,0,0,0"
"Uzbekistan,""UZB"",140,2019,0.204,1,0,NA,1,1,0,1,1,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,1784.00981608195,7.4866189956665,1,1,0,0,0,0"
"Austria,""AUT"",144,2019,0.848,3,1,NA,5,5,0,0,1,2,2,2,2,0,0,0,0,0,0,0,3,0.230769231915474,50070.4033482901,10.8211851119995,0.856000006198883,1,1,0,0,0"
"Bahrain,""BHR"",146,2019,0.117,0,0,NA,3,3,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,25869.1129129041,10.1608047485352,0.980100035667419,1,0,0,0,0"
"Barbados,""BRB"",147,2019,0.787,3,1,NA,10,2,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,19002.9623813263,9.85235023498535,0.981000006198883,1,0,0,0,0"
"Belgium,""BEL"",148,2019,0.896,3,1,NA,5,5,0,0,1,0,0,0,0,0,1,0,1,1,1,1,11,0.846153855323792,46638.6813054855,10.7501859664917,0.691999971866608,1,1,1,1,1"
"Bosnia and Herzegovina,""BIH"",150,2019,0.531,2,1,NA,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,8,0.615384638309479,6011.37067052755,8.70140838623047,0.975899934768677,1,1,0,0,0"
"Bulgaria,""BGR"",152,2019,0.612,2,1,NA,1,1,0,0,1,2,2,2,2,0,0,0,0,0,0,0,3,0.230769231915474,9879.33434282707,9.19820022583008,0.953499972820282,1,1,0,0,0"
"Comoros,""COM"",153,2019,0.322,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,1510.79735809965,7.32039260864258,1,1,0,0,0,0"
"Croatia,""HRV"",154,2019,0.742,2,1,NA,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,9,0.692307710647583,15331.8830536722,9.6376895904541,0.949000000953674,1,1,1,0,0"
"Cuba,""CUB"",155,2019,0.18,0,0,NA,2,2,0,1,1,1,1,2,1,0,0,1,0,0,0,0,3,0.230769231915474,9139.41585605765,9.12035179138184,0.768199980258942,1,0,0,0,0"
"Cyprus,""CYP"",156,2019,0.841,3,1,NA,5,5,0,NA,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,29417.138671875,10.2893323898315,0.981700003147125,1,NA,0,0,0"
"Czechia,""CZE"",157,2019,0.819,3,1,NA,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,8,0.615384638309479,23664.8478631108,10.0717458724976,0.217999994754791,1,1,0,0,0"
"Denmark,""DNK"",158,2019,0.915,3,1,NA,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0.461538463830948,59592.9806886454,10.9952926635742,0.88019996881485,1,1,1,1,1"
"Equatorial Guinea,""GNQ"",160,2019,0.176,1,0,NA,4,4,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,7317.39018853546,8.89800930023193,0.949999988079071,1,1,0,0,0"
"Estonia,""EST"",161,2019,0.891,3,1,NA,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,3,0.230769231915474,23424.4847073518,10.0615367889404,0.39860001206398,1,1,0,0,0"
"Fiji,""FJI"",162,2019,0.404,1,1,NA,9,6,0,1,0,2,2,2,2,0,0,1,1,0,0,0,3,0.230769231915474,5968.30055949885,8.69421768188477,1,1,0,0,0,0"
"Finland,""FIN"",163,2019,0.875,3,1,NA,5,5,0,0,1,1,1,1,0,0,1,0,1,1,0,0,7,0.538461565971375,48629.8582283032,10.7919931411743,0.793700039386749,1,1,0,0,1"
"Greece,""GRC"",164,2019,0.851,2,1,NA,5,5,0,0,1,1,0,0,1,0,1,0,1,1,1,1,10,0.769230782985687,19144.284387556,9.85975933074951,0.939000010490417,1,1,1,1,0"
"Guyana,""GUY"",166,2019,0.651,2,1,NA,10,2,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,6477.29672607993,8.77605819702148,0.980000019073486,1,0,0,0,0"
"Iceland,""ISL"",168,2019,0.859,3,1,NA,5,5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,9,0.692307710647583,68853.71521658,11.1397390365601,0.961399972438812,1,1,1,1,1"
"Israel,""ISR"",169,2019,0.708,3,1,NA,3,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4,0.307692319154739,44452.2325623093,10.7021703720093,0.96809995174408,1,1,0,0,1"
"Kuwait,""KWT"",171,2019,0.331,0,0,NA,3,3,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,30667.3482202553,10.3309535980225,1,0,0,0,0,0"
"Lithuania,""LTU"",173,2019,0.825,2,1,NA,1,1,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,19595.1415724355,9.88303661346436,0.901799976825714,1,1,0,0,0"
"Luxembourg,""LUX"",174,2019,0.881,3,1,NA,5,5,0,0,1,0,0,0,0,0,1,0,1,1,1,1,11,0.846153855323792,112621.821337404,11.6317911148071,0.732900023460388,1,1,1,1,1"
"North Macedonia,""MKD"",176,2019,0.599,2,1,NA,1,1,0,0,0,2,2,2,2,0,1,0,1,1,1,1,7,0.538461565971375,6070.38805358275,8.71117782592773,0.98690003156662,1,1,0,0,0"
"Malaysia,""MYS"",177,2019,0.472,1,0,NA,7,6,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,11132.0239344924,9.31758117675781,1,0,0,0,0,0"
"Malta,""MLT"",178,2019,0.771,2,1,NA,5,5,0,0,1,0,0,0,0,1,1,1,1,1,0,0,11,0.846153855323792,31198.2414453028,10.3481168746948,0.975000023841858,1,1,1,1,1"
"Mauritius,""MUS"",180,2019,0.714,2,1,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,11405.7268191397,9.34187126159668,1,1,0,0,0,0"
"Montenegro,""MNE"",183,2019,0.462,1,1,NA,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,8,0.615384638309479,8909.65333601178,9.09489059448242,0.968899965286255,1,1,0,0,0"
"New Zealand,""NZL"",185,2019,0.895,3,1,NA,5,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0.384615391492844,42865.233643554,10.6658163070679,0.60699999332428,1,1,0,1,1"
"Norway,""NOR"",186,2019,0.89,3,1,NA,5,5,0,0,1,0,0,0,0,0,1,0,1,1,1,1,11,0.846153855323792,75719.7528965342,11.2347946166992,0.885500013828278,1,1,1,1,1"
"Oman,""OMN"",187,2019,0.176,0,0,NA,3,3,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,19132.1522739094,9.8591251373291,1,0,0,0,0,0"
"Paraguay,""PRY"",189,2019,0.583,2,1,NA,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,5807.83879407975,8.66696357727051,0.989000022411346,1,1,0,0,0"
"Romania,""ROU"",190,2019,0.75,2,1,NA,1,1,0,0,1,2,2,2,2,0,0,0,0,0,0,0,3,0.230769231915474,12958.0755553785,9.46947479248047,1,1,1,0,0,0"
"Sao Tome and Principe,""STP"",196,2019,0.701,2,1,NA,4,4,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,1991.73826385183,7.59676313400269,0.868600010871887,1,1,0,0,0"
"Saudi Arabia,""SAU"",197,2019,0.016,0,0,NA,3,3,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,22430.238229402,10.0181655883789,1,0,0,0,0,0"
"Serbia,""SRB"",198,2019,0.367,1,1,NA,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,7,0.538461565971375,7417.20364852201,8.9115571975708,0.96699994802475,1,0,0,0,0"
"Seychelles,""SYC"",199,2019,0.623,3,1,NA,4,4,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,17253.5056614424,9.75577068328857,0.97900003194809,1,1,0,0,0"
"Singapore,""SGP"",200,2019,0.402,1,0,NA,7,6,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0.0769230797886848,65831.1894308765,11.0948486328125,0.835099995136261,1,0,NA,NA,NA"
"Slovakia,""SVK"",201,2019,0.843,3,1,NA,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,8,0.615384638309479,19383.4810445228,9.87217617034912,0.843499958515167,1,1,0,0,0"
"Slovenia,""SVN"",202,2019,0.803,3,1,NA,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,8,0.615384638309479,26016.078683914,10.1664695739746,0.812799990177155,1,1,0,0,0"
"Solomon Islands,""SLB"",203,2019,0.618,2,1,NA,9,6,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,2398.77275659429,7.78271245956421,1,1,0,0,0,0"
"Vanuatu,""VUT"",206,2019,0.758,2,1,NA,9,6,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,3076.58988588361,8.03157711029053,0.98800003528595,1,1,0,0,0"
"United Arab Emirates,""ARE"",207,2019,0.1,0,0,NA,3,3,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,45376.1708381558,10.7227420806885,0.989000022411346,0,0,0,0,0"
"Hungary,""HUN"",210,2019,0.466,1,1,NA,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,8,0.615384638309479,16782.9524639857,9.72811889648438,0.798700034618378,1,1,0,0,0"
