"""country_name"",""country_text_id"",""country_id"",""year"",""v2x_polyarchy"",""v2x_regime"",""e_boix_regime"",""e_polity2"",""e_regionpol"",""e_regionpol_6C"",""dir_crim"",""ind_crim"",""gmc"",""gmcpr"",""gmcphys"",""gmcpsych"",""gmcdiv"",""nb3g"",""adp_general"",""adp_constitution"",""adp_employment"",""adp_education"",""adp_healthcare"",""adp_housing"",""trip_score"",""trip_percent"",""wb_gdppc"",""lgdppc_wb"",""religiosity_percent"",""no_dircrim"",""no_indcrim"",""nophys"",""nopsych"",""nodiv"""
"Vietnam,""VNM"",34,2019,0.149,0,0,NA,7,6,0,0,1,2,2,2,2,0,0,0,0,0,0,0,3,0.230769231915474,3491.09127354876,8.15796947479248,0.701299965381622,1,1,0,0,0"
"Afghanistan,""AFG"",36,2019,0.353,1,0,NA,8,6,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,500.522664145294,6.21565294265747,1,1,0,0,0,0"
"Argentina,""ARG"",37,2019,0.771,2,1,NA,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0.384615391492844,9963.6725062053,9.20670127868652,0.878899991512299,1,0,1,1,1"
"Ethiopia,""ETH"",38,2019,0.331,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,840.449451464836,6.73393678665161,1,1,0,0,0,0"
"India,""IND"",39,2019,0.436,1,1,NA,8,6,0,1,1,2,2,2,2,1,1,0,0,0,0,0,4,0.307692319154739,2047.23270433512,7.62424421310425,1,1,0,0,0,0"
"Kenya,""KEN"",40,2019,0.463,1,1,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,1970.10514317888,7.58584213256836,0.97680002450943,1,0,0,0,0"
"North Korea,""PRK"",41,2019,0.086,0,0,NA,6,6,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,NA,NA,0.287000000476837,1,0,0,0,0"
"South Korea,""KOR"",42,2019,0.851,3,1,NA,6,6,0,1,1,1,1,2,2,0,0,0,0,0,0,0,2,0.15384615957737,31902.4169048194,10.370436668396,0.534199953079224,1,0,0,0,0"
"Kosovo,""XKX"",43,2019,0.635,2,NA,NA,1,1,0,0,0,2,2,2,2,0,1,0,1,1,1,1,7,0.538461565971375,4416.10835754636,8.3930139541626,1,1,1,0,0,0"
"Lebanon,""LBN"",44,2019,0.431,1,0,NA,3,3,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,8985.57249887356,9.10337543487549,1,0,0,0,0,0"
"Nigeria,""NGA"",45,2019,0.529,2,1,NA,4,4,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2204.18157415589,7.69811153411865,1,0,0,0,0,0"
"Philippines,""PHL"",46,2019,0.454,1,1,NA,7,6,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,3413.84792378255,8.13559532165527,1,1,0,0,0,0"
"Tanzania,""TZA"",47,2019,0.396,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,1052.02172851563,6.95846891403198,0.984200000762939,1,0,0,0,0"
"Thailand,""THA"",49,2019,0.207,0,0,NA,7,6,0,1,0,2,2,2,2,0,1,0,0,0,0,0,2,0.15384615957737,7630.03960991873,8.93984794616699,1,1,0,0,0,0"
"Uganda,""UGA"",50,2019,0.297,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,823.138950454868,6.71312522888184,1,1,0,0,0,0"
"Venezuela,""VEN"",51,2019,0.209,1,0,NA,2,2,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,NA,NA,0.902699947357178,1,0,0,0,0"
"Benin,""BEN"",52,2019,0.473,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,1170.96553298099,7.0655837059021,0.948199987411499,1,0,0,0,0"
"Bhutan,""BTN"",53,2019,0.595,2,0,NA,8,6,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,3303.96421053812,8.10287857055664,1,1,0,0,0,0"
"Burkina Faso,""BFA"",54,2019,0.667,2,1,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,772.166894917835,6.64920091629028,1,1,0,0,0,0"
"Cambodia,""KHM"",55,2019,0.195,1,0,NA,7,6,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,1671.38538492515,7.42140817642212,1,1,0,0,0,0"
"Indonesia,""IDN"",56,2019,0.609,2,1,NA,7,6,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,4151.22754296453,8.3311595916748,1,0,0,0,0,0"
"Mozambique,""MOZ"",57,2019,0.396,1,0,NA,4,4,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,508.163674567861,6.23080348968506,0.826399981975555,1,1,0,0,0"
"Nepal,""NPL"",58,2019,0.595,2,1,NA,8,6,0,1,1,2,2,2,2,1,0,0,0,0,0,0,3,0.230769231915474,1185.68267540752,7.07807397842407,1,1,0,0,0,0"
"Nicaragua,""NIC"",59,2019,0.221,1,0,NA,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,1890.27306467363,7.54447650909424,0.870500028133392,1,1,0,0,0"
